Scenario - Own_name
Logfile written - 09/28/2021 18:04:43

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	1	Response	1	187689	187313	4
2	2	Sound	std	192892	0	2822			0		other	0
2	3	Sound	std	201594	0	3			0		other	0
2	4	Sound	std	208775	0	3			0		other	0
2	5	Sound	std	215945	0	3			0		other	0
2	6	Sound	std	223404	0	3			0		other	0
2	7	Sound	std	230144	0	3			0		other	0
2	8	Sound	std	237285	0	3			0		other	0
2	9	Sound	std	244655	0	3			0		other	0
2	10	Sound	std	250885	0	3			0		other	0
2	11	Sound	std	257075	0	3			0		other	0
2	12	Sound	std	264024	0	2			0		other	0
2	13	Sound	std	269985	0	3			0		other	0
2	14	Sound	std	276724	0	3			0		other	0
2	15	Sound	std	284484	0	3			0		other	0
2	16	Sound	deviant_smile	292025	0	2			0		other	0
2	16	Sound	0	304025	12000	3			12000		other	0
2	17	Sound	std	311224	0	3			0		other	0
2	18	Sound	std	317254	0	3			0		other	0
2	19	Sound	std	324985	0	3			0		other	0
2	20	Sound	std	331004	0	3			0		other	0
2	21	Sound	std	337294	0	3			0		other	0
2	22	Sound	std	343235	0	3			0		other	0
2	23	Sound	deviant_flat	349224	0	3			0		other	0
2	23	Sound	0	361224	12000	3			12000		other	0
2	24	Sound	std	367485	0	3			0		other	0
2	25	Sound	deviant_flat	373474	0	3			0		other	0
2	25	Sound	0	385474	12000	3			12000		other	0
2	26	Sound	std	391764	0	3			0		other	0
2	27	Sound	std	399405	0	3			0		other	0
2	28	Sound	std	406344	0	3			0		other	0
2	29	Sound	std	413664	0	3			0		other	0
2	30	Sound	std	420523	0	3			0		other	0
2	31	Sound	deviant_flat	427794	0	3			0		other	0
2	31	Sound	0	439794	12000	3			12000		other	0
2	32	Sound	std	445844	0	3			0		other	0
2	33	Sound	std	453474	0	3			0		other	0
2	34	Sound	deviant_flat	460656	0	3			0		other	0
2	34	Sound	0	472656	12000	3			12000		other	0
2	35	Sound	std	479974	0	3			0		other	0
2	36	Sound	std	487645	0	3			0		other	0
2	37	Sound	deviant_rough	493934	0	3			0		other	0
2	37	Sound	0	505934	12000	3			12000		other	0
2	38	Sound	std	513204	0	3			0		other	0
2	39	Sound	std	519045	0	3			0		other	0
2	40	Sound	deviant_smile	525155	0	3			0		other	0
2	40	Sound	0	537155	12000	3			12000		other	0
2	41	Sound	std	543894	0	3			0		other	0
2	42	Sound	std	550544	0	3			0		other	0
2	43	Sound	std	557314	0	3			0		other	0
2	44	Sound	std	564944	0	3			0		other	0
2	45	Sound	deviant_rough	571225	0	2			0		other	0
2	45	Sound	0	583225	12000	3			12000		other	0
2	46	Sound	deviant_smile	589344	0	3			0		other	0
2	46	Sound	0	601344	12000	3			12000		other	0
2	47	Sound	std	608593	0	2			0		other	0
2	48	Sound	std	614364	0	4			0		other	0
2	49	Sound	deviant_rough	621594	0	3			0		other	0
2	49	Sound	0	633594	12000	3			12000		other	0
2	50	Sound	std	641245	0	3			0		other	0
2	51	Sound	std	648834	0	3			0		other	0
2	52	Sound	deviant_smile	656034	0	3			0		other	0
2	52	Sound	0	668034	12000	6			12000		other	0
2	53	Sound	std	674133	0	3			0		other	0
2	54	Sound	std	680614	0	3			0		other	0
2	55	Sound	std	688383	0	3			0		other	0
2	56	Sound	std	694544	0	2			0		other	0
2	57	Sound	std	700334	0	3			0		other	0
2	58	Sound	deviant_smile	707734	0	3			0		other	0
2	58	Sound	0	719734	12000	3			12000		other	0
2	59	Sound	std	726910	0	3			0		other	0
2	60	Sound	std	733954	0	3			0		other	0
2	61	Sound	std	741026	0	3			0		other	0
2	62	Sound	std	747454	0	3			0		other	0
2	63	Sound	std	753644	0	3			0		other	0
2	64	Sound	std	760723	0	3			0		other	0
2	65	Sound	std	766724	0	2			0		other	0
2	66	Sound	std	773205	0	3			0		other	0
2	67	Sound	std	780873	0	3			0		other	0
2	68	Sound	std	788393	0	3			0		other	0
2	69	Sound	deviant_flat	794724	0	3			0		other	0
2	69	Sound	0	806724	12000	3			12000		other	0
2	70	Sound	std	813904	0	2			0		other	0
2	71	Sound	std	819863	0	3			0		other	0
2	72	Sound	deviant_rough	827455	0	3			0		other	0
2	72	Sound	0	839455	12000	3			12000		other	0
2	73	Sound	std	845904	0	3			0		other	0
2	74	Sound	std	852744	0	3			0		other	0
2	75	Sound	std	860474	0	3			0		other	0
2	76	Sound	deviant_rough	867664	0	3			0		other	0
2	76	Sound	0	879664	12000	3			12000		other	0
2	77	Sound	std	887374	0	3			0		other	0
2	78	Sound	std	893564	0	3			0		other	0
2	79	Sound	std	900234	0	3			0		other	0
2	80	Sound	deviant_rough	907324	0	3			0		other	0
2	80	Sound	0	919324	12000	3			12000		other	0
2	81	Sound	std	926934	0	3			0		other	0
2	82	Sound	std	933594	0	3			0		other	0
2	83	Sound	deviant_smile	939394	0	2			0		other	0
2	83	Sound	0	951394	12000	3			12000		other	0
2	84	Sound	std	958004	0	3			0		other	0
2	85	Sound	std	964644	0	3			0		other	0
2	86	Sound	std	971064	0	2			0		other	0
2	87	Sound	std	977873	0	3			0		other	0
2	88	Sound	deviant_smile	984633	0	3			0		other	0
2	88	Sound	0	996633	12000	4			12000		other	0
2	89	Sound	std	1003993	0	3			0		other	0
2	90	Sound	std	1011068	0	6			0		other	0
2	91	Sound	std	1017394	0	3			0		other	0
2	92	Sound	std	1024734	0	48			0		other	0
2	93	Sound	std	1030944	0	3			0		other	0
2	94	Sound	std	1036963	0	3			0		other	0
2	95	Sound	std	1043603	0	2			0		other	0
2	96	Sound	std	1049374	0	3			0		other	0
2	97	Sound	std	1056703	0	2			0		other	0
2	98	Sound	std	1063624	0	2			0		other	0
2	99	Sound	std	1070493	0	3			0		other	0
2	100	Sound	std	1078026	0	3			0		other	0
2	101	Sound	std	1084913	0	2			0		other	0
2	102	Sound	deviant_smile	1092223	0	2			0		other	0
2	102	Sound	0	1104223	12000	3			12000		other	0
2	103	Sound	deviant_smile	1111363	0	3			0		other	0
2	103	Sound	0	1123363	12000	3			12000		other	0
2	104	Sound	deviant_rough	1131054	0	2			0		other	0
2	104	Sound	0	1143054	12000	2			12000		other	0
2	105	Sound	deviant_flat	1150253	0	4			0		other	0
2	105	Sound	0	1162253	12000	2			12000		other	0
2	106	Sound	std	1168033	0	3			0		other	0
2	107	Sound	std	1175632	0	2			0		other	0
2	108	Sound	deviant_rough	1181843	0	3			0		other	0
2	108	Sound	0	1193843	12000	3			12000		other	0
2	109	Sound	std	1200803	0	3			0		other	0
2	110	Sound	std	1208213	0	3			0		other	0
2	111	Sound	std	1215913	0	3			0		other	0
2	112	Sound	std	1222813	0	3			0		other	0
2	113	Sound	std	1229412	0	4			0		other	0
2	114	Sound	deviant_flat	1235503	0	2			0		other	0
2	114	Sound	0	1247503	12000	4			12000		other	0
