Scenario - Own_name
Logfile written - 09/28/2021 17:34:02

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	1	Response	1	55840	55467	3
2	2	Sound	std	62043	0	346			0		other	0
2	3	Sound	std	69895	0	3			0		other	0
2	4	Sound	std	76024	0	3			0		other	0
2	5	Sound	std	83714	0	3			0		other	0
2	6	Sound	std	91175	0	3			0		other	0
2	7	Sound	std	98134	0	3			0		other	0
2	8	Sound	std	105754	0	3			0		other	0
2	9	Sound	std	112754	0	3			0		other	0
2	10	Sound	std	119524	0	3			0		other	0
2	11	Sound	std	127264	0	3			0		other	0
2	12	Sound	std	133503	0	2			0		other	0
2	13	Sound	std	139875	0	2			0		other	0
2	14	Sound	deviant_fall	147104	0	3			0		other	0
2	14	Sound	0	159104	12000	3			12000		other	0
2	15	Sound	std	166524	0	2			0		other	0
2	16	Sound	std	173284	0	2			0		other	0
2	17	Sound	std	180904	0	3			0		other	0
2	18	Sound	std	186775	0	3			0		other	0
2	19	Sound	deviant_fall	193065	0	3			0		other	0
2	19	Sound	0	205065	12000	3			12000		other	0
2	20	Sound	std	212684	0	3			0		other	0
2	21	Sound	deviant_fall	220334	0	3			0		other	0
2	21	Sound	0	232334	12000	3			12000		other	0
2	22	Sound	deviant_flat	238404	0	2			0		other	0
2	22	Sound	0	250404	12000	3			12000		other	0
2	23	Sound	std	256224	0	3			0		other	0
2	24	Sound	std	262614	0	3			0		other	0
2	25	Sound	std	270264	0	3			0		other	0
2	26	Sound	std	276014	0	3			0		other	0
2	27	Sound	deviant_flat	282663	0	3			0		other	0
2	27	Sound	0	294663	12000	3			12000		other	0
2	28	Sound	deviant_rise	301403	0	3			0		other	0
2	28	Sound	0	313403	12000	2			12000		other	0
2	29	Sound	std	321155	0	3			0		other	0
2	30	Sound	std	327705	0	32			0		other	0
2	31	Sound	std	334874	0	3			0		other	0
2	32	Sound	std	341264	0	3			0		other	0
2	33	Sound	std	347873	0	3			0		other	0
2	34	Sound	std	354313	0	3			0		other	0
2	35	Sound	std	360554	0	3			0		other	0
2	36	Sound	std	368124	0	3			0		other	0
2	37	Sound	std	374223	0	3			0		other	0
2	38	Sound	std	381214	0	3			0		other	0
2	39	Sound	std	388944	0	3			0		other	0
2	40	Sound	std	395605	0	3			0		other	0
2	41	Sound	std	402074	0	3			0		other	0
2	42	Sound	std	409153	0	3			0		other	0
2	43	Sound	std	415754	0	3			0		other	0
2	44	Sound	std	422104	0	3			0		other	0
2	45	Sound	std	429324	0	2			0		other	0
2	46	Sound	std	436594	0	2			0		other	0
2	47	Sound	std	443794	0	2			0		other	0
2	48	Sound	deviant_flat	451104	0	3			0		other	0
2	48	Sound	0	463104	12000	3			12000		other	0
2	49	Sound	deviant_fall	469883	0	3			0		other	0
2	49	Sound	0	481883	12000	3			12000		other	0
2	50	Sound	deviant_rise	488774	0	2			0		other	0
2	50	Sound	0	500774	12000	2			12000		other	0
2	51	Sound	std	507284	0	2			0		other	0
2	52	Sound	std	514684	0	3			0		other	0
2	53	Sound	std	520964	0	3			0		other	0
2	54	Sound	deviant_fall	526955	0	2			0		other	0
2	54	Sound	0	538955	12000	2			12000		other	0
2	55	Sound	deviant_rise	545764	0	2			0		other	0
2	55	Sound	0	557764	12000	2			12000		other	0
2	56	Sound	std	564364	0	3			0		other	0
2	57	Sound	std	570363	0	3			0		other	0
2	58	Sound	std	576904	0	2			0		other	0
2	59	Sound	std	584253	0	3			0		other	0
2	60	Sound	std	591054	0	3			0		other	0
2	61	Sound	deviant_fall	596953	0	3			0		other	0
2	61	Sound	0	608953	12000	4			12000		other	0
2	62	Sound	std	616066	0	3			0		other	0
2	63	Sound	std	623274	0	3			0		other	0
2	64	Sound	std	629184	0	3			0		other	0
2	65	Sound	std	636203	0	3			0		other	0
2	66	Sound	std	643664	0	3			0		other	0
2	67	Sound	std	650524	0	3			0		other	0
2	68	Sound	deviant_rise	656504	0	3			0		other	0
2	68	Sound	0	668504	12000	2			12000		other	0
2	69	Sound	std	675044	0	2			0		other	0
2	70	Sound	deviant_rise	681004	0	3			0		other	0
2	70	Sound	0	693004	12000	2			12000		other	0
2	71	Sound	std	700403	0	3			0		other	0
2	72	Sound	std	707643	0	3			0		other	0
2	73	Sound	deviant_fall	714283	0	3			0		other	0
2	73	Sound	0	726283	12000	3			12000		other	0
2	74	Sound	std	732993	0	3			0		other	0
2	75	Sound	std	739673	0	3			0		other	0
2	76	Sound	std	746763	0	3			0		other	0
2	77	Sound	std	754113	0	2			0		other	0
2	78	Sound	std	760123	0	3			0		other	0
2	79	Sound	std	767853	0	3			0		other	0
2	80	Sound	std	774822	0	3			0		other	0
2	81	Sound	std	782384	0	3			0		other	0
2	82	Sound	std	789284	0	2			0		other	0
2	83	Sound	std	795664	0	3			0		other	0
2	84	Sound	deviant_rise	801902	0	2			0		other	0
2	84	Sound	0	813902	12000	3			12000		other	0
2	85	Sound	std	821484	0	3			0		other	0
2	86	Sound	std	828792	0	2			0		other	0
2	87	Sound	std	836534	0	2			0		other	0
2	88	Sound	std	842514	0	2			0		other	0
2	89	Sound	deviant_rise	849543	0	3			0		other	0
2	89	Sound	0	861543	12000	3			12000		other	0
2	90	Sound	deviant_flat	868543	0	3			0		other	0
2	90	Sound	0	880543	12000	3			12000		other	0
2	91	Sound	deviant_rise	886833	0	3			0		other	0
2	91	Sound	0	898833	12000	3			12000		other	0
2	92	Sound	std	906133	0	3			0		other	0
2	93	Sound	std	912313	0	2			0		other	0
2	94	Sound	std	918773	0	3			0		other	0
2	95	Sound	std	924773	0	3			0		other	0
2	96	Sound	std	932362	0	2			0		other	0
2	97	Sound	std	939943	0	3			0		other	0
2	98	Sound	deviant_fall	947274	0	2			0		other	0
2	98	Sound	0	959274	12000	2			12000		other	0
2	99	Sound	std	966193	0	3			0		other	0
2	100	Sound	std	972573	0	3			0		other	0
2	101	Sound	std	979044	0	3			0		other	0
2	102	Sound	std	985093	0	3			0		other	0
2	103	Sound	deviant_flat	992802	0	2			0		other	0
2	103	Sound	0	1004802	12000	3			12000		other	0
2	104	Sound	deviant_rise	1011424	0	2			0		other	0
2	104	Sound	0	1023424	12000	2			12000		other	0
2	105	Sound	std	1030522	0	2			0		other	0
2	106	Sound	deviant_flat	1036703	0	3			0		other	0
2	106	Sound	0	1048703	12000	3			12000		other	0
2	107	Sound	std	1055143	0	3			0		other	0
2	108	Sound	std	1061254	0	3			0		other	0
2	109	Sound	deviant_flat	1068713	0	2			0		other	0
2	109	Sound	0	1080713	12000	3			12000		other	0
2	110	Sound	std	1087354	0	3			0		other	0
2	111	Sound	std	1093113	0	2			0		other	0
2	112	Sound	std	1100782	0	3			0		other	0
2	113	Sound	std	1107073	0	3			0		other	0
2	114	Sound	deviant_rise	1113003	0	3			0		other	0
2	114	Sound	0	1125003	12000	3			12000		other	0
2	115	Sound	std	1132092	0	3			0		other	0
2	116	Sound	std	1138612	0	2			0		other	0
2	117	Sound	std	1146244	0	2			0		other	0
2	118	Sound	deviant_fall	1152662	0	3			0		other	0
2	118	Sound	0	1164662	12000	3			12000		other	0
2	119	Sound	deviant_fall	1172253	0	3			0		other	0
2	119	Sound	0	1184253	12000	2			12000		other	0
2	120	Sound	std	1190232	0	2			0		other	0
2	121	Sound	std	1197713	0	3			0		other	0
2	122	Sound	deviant_rise	1204443	0	2			0		other	0
2	122	Sound	0	1216443	12000	3			12000		other	0
2	123	Sound	std	1223962	0	3			0		other	0
2	124	Sound	std	1231292	0	3			0		other	0
2	125	Sound	deviant_rise	1238042	0	3			0		other	0
2	125	Sound	0	1250042	12000	2			12000		other	0
2	126	Sound	std	1256872	0	3			0		other	0
2	127	Sound	std	1263463	0	2			0		other	0
2	128	Sound	std	1270705	0	3			0		other	0
2	129	Sound	std	1276532	0	3			0		other	0
2	130	Sound	std	1282902	0	3			0		other	0
2	131	Sound	std	1289312	0	6			0		other	0
2	132	Sound	std	1295852	0	2			0		other	0
2	133	Sound	std	1302052	0	3			0		other	0
2	134	Sound	std	1309532	0	2			0		other	0
2	135	Sound	std	1315813	0	3			0		other	0
2	136	Sound	std	1322384	0	2			0		other	0
2	137	Sound	std	1329263	0	5			0		other	0
2	138	Sound	std	1336913	0	3			0		other	0
2	139	Sound	deviant_rise	1343573	0	4			0		other	0
2	139	Sound	0	1355573	12000	3			12000		other	0
2	140	Sound	std	1362842	0	2			0		other	0
2	141	Sound	deviant_rise	1369675	0	2			0		other	0
2	141	Sound	0	1381675	12000	3			12000		other	0
2	142	Sound	std	1387472	0	3			0		other	0
2	143	Sound	std	1393973	0	3			0		other	0
2	144	Sound	std	1400622	0	3			0		other	0
2	145	Sound	deviant_rise	1406752	0	3			0		other	0
2	145	Sound	0	1418752	12000	3			12000		other	0
2	146	Sound	std	1425552	0	3			0		other	0
2	147	Sound	std	1431353	0	3			0		other	0
2	148	Sound	deviant_flat	1437332	0	3			0		other	0
2	148	Sound	0	1449332	12000	3			12000		other	0
2	149	Sound	std	1456432	0	2			0		other	0
2	150	Sound	std	1462513	0	2			0		other	0
2	151	Sound	std	1468753	0	3			0		other	0
2	152	Sound	std	1474532	0	3			0		other	0
2	153	Sound	deviant_rise	1480432	0	3			0		other	0
2	153	Sound	0	1492432	12000	2			12000		other	0
2	154	Sound	std	1499803	0	2			0		other	0
2	155	Sound	deviant_rise	1507193	0	3			0		other	0
2	155	Sound	0	1519193	12000	5			12000		other	0
2	156	Sound	deviant_rise	1526522	0	3			0		other	0
2	156	Sound	0	1538522	12000	2			12000		other	0
2	157	Sound	deviant_flat	1544902	0	2			0		other	0
2	157	Sound	0	1556902	12000	3			12000		other	0
2	158	Sound	std	1564143	0	3			0		other	0
2	159	Sound	deviant_fall	1571082	0	2			0		other	0
2	159	Sound	0	1583082	12000	2			12000		other	0
2	160	Sound	std	1589283	0	3			0		other	0
2	161	Sound	std	1596572	0	3			0		other	0
2	162	Sound	deviant_fall	1602582	0	3			0		other	0
2	162	Sound	0	1614582	12000	3			12000		other	0
2	163	Sound	deviant_flat	1620962	0	2			0		other	0
2	163	Sound	0	1632962	12000	2			12000		other	0
2	164	Sound	std	1639502	0	4			0		other	0
2	165	Sound	std	1646252	0	3			0		other	0
2	166	Sound	deviant_rise	1652072	0	2			0		other	0
2	166	Sound	0	1664072	12000	3			12000		other	0
2	167	Sound	std	1670352	0	3			0		other	0
2	168	Sound	std	1676572	0	2			0		other	0
2	169	Sound	deviant_fall	1683682	0	3			0		other	0
2	169	Sound	0	1695682	12000	3			12000		other	0
2	170	Sound	deviant_fall	1702632	0	2			0		other	0
2	170	Sound	0	1714632	12000	2			12000		other	0
2	171	Sound	deviant_fall	1720912	0	3			0		other	0
2	171	Sound	0	1732912	12000	2			12000		other	0
2	172	Sound	std	1739032	0	3			0		other	0
2	173	Sound	std	1745392	0	3			0		other	0
2	174	Sound	deviant_fall	1751312	0	3			0		other	0
2	174	Sound	0	1763312	12000	3			12000		other	0
2	175	Sound	deviant_fall	1769322	0	3			0		other	0
2	175	Sound	0	1781322	12000	2			12000		other	0
2	176	Sound	std	1788252	0	2			0		other	0
2	177	Sound	deviant_fall	1794002	0	3			0		other	0
2	177	Sound	0	1806002	12000	2			12000		other	0
2	178	Sound	std	1813612	0	3			0		other	0
2	179	Sound	std	1820272	0	3			0		other	0
2	180	Sound	deviant_fall	1826002	0	3			0		other	0
2	180	Sound	0	1838002	12000	2			12000		other	0
2	181	Sound	std	1844402	0	3			0		other	0
2	182	Sound	deviant_rise	1850982	0	3			0		other	0
2	182	Sound	0	1862982	12000	2			12000		other	0
2	183	Sound	std	1869812	0	2			0		other	0
2	184	Sound	std	1877342	0	2			0		other	0
2	185	Sound	std	1884042	0	3			0		other	0
2	186	Sound	std	1890692	0	3			0		other	0
2	187	Sound	std	1897313	0	2			0		other	0
2	188	Sound	std	1904471	0	3			0		other	0
2	189	Sound	deviant_flat	1910712	0	3			0		other	0
2	189	Sound	0	1922712	12000	3			12000		other	0
2	190	Sound	std	1929302	0	3			0		other	0
2	191	Sound	deviant_rise	1935332	0	3			0		other	0
2	191	Sound	0	1947332	12000	3			12000		other	0
2	192	Sound	std	1954342	0	3			0		other	0
2	193	Sound	std	1961772	0	3			0		other	0
2	194	Sound	std	1969482	0	3			0		other	0
2	195	Sound	deviant_flat	1977194	0	3			0		other	0
2	195	Sound	0	1989194	12000	2			12000		other	0
2	196	Sound	std	1996392	0	2			0		other	0
2	197	Sound	deviant_rise	2002752	0	3			0		other	0
2	197	Sound	0	2014752	12000	3			12000		other	0
2	198	Sound	std	2021961	0	2			0		other	0
2	199	Sound	std	2029391	0	3			0		other	0
2	200	Sound	std	2035552	0	3			0		other	0
2	201	Sound	std	2043172	0	3			0		other	0
2	202	Sound	std	2049643	0	3			0		other	0
2	203	Sound	std	2056732	0	3			0		other	0
2	204	Sound	std	2063072	0	3			0		other	0
2	205	Sound	std	2069543	0	3			0		other	0
2	206	Sound	std	2076952	0	3			0		other	0
2	207	Sound	std	2084412	0	3			0		other	0
2	208	Sound	deviant_fall	2092052	0	3			0		other	0
2	208	Sound	0	2104052	12000	2			12000		other	0
2	209	Sound	std	2111031	0	3			0		other	0
2	210	Sound	std	2118372	0	3			0		other	0
2	211	Sound	deviant_flat	2126061	0	3			0		other	0
2	211	Sound	0	2138061	12000	2			12000		other	0
2	212	Sound	deviant_flat	2145661	0	2			0		other	0
2	212	Sound	0	2157661	12000	2			12000		other	0
2	213	Sound	std	2163692	0	3			0		other	0
2	214	Sound	std	2169903	0	3			0		other	0
2	215	Sound	std	2176332	0	3			0		other	0
2	216	Sound	std	2183871	0	3			0		other	0
2	217	Sound	std	2190002	0	3			0		other	0
2	218	Sound	std	2197612	0	2			0		other	0
2	219	Sound	deviant_flat	2204542	0	2			0		other	0
2	219	Sound	0	2216542	12000	3			12000		other	0
2	220	Sound	std	2222501	0	3			0		other	0
2	221	Sound	deviant_fall	2229362	0	3			0		other	0
2	221	Sound	0	2241362	12000	3			12000		other	0
2	222	Sound	std	2247441	0	3			0		other	0
2	223	Sound	std	2253401	0	2			0		other	0
2	224	Sound	std	2260592	0	2			0		other	0
2	225	Sound	std	2267641	0	3			0		other	0
2	226	Sound	std	2274062	0	3			0		other	0
2	227	Sound	std	2280422	0	2			0		other	0
2	228	Sound	std	2286761	0	2			0		other	0
2	229	Sound	deviant_flat	2294391	0	2			0		other	0
2	229	Sound	0	2306391	12000	3			12000		other	0
2	230	Sound	std	2312441	0	3			0		other	0
2	231	Sound	std	2319071	0	3			0		other	0
2	232	Sound	std	2325641	0	3			0		other	0
2	233	Sound	std	2333191	0	3			0		other	0
2	234	Sound	std	2339201	0	3			0		other	0
2	235	Sound	std	2345923	0	3			0		other	0
2	236	Sound	std	2353412	0	3			0		other	0
2	237	Sound	std	2359922	0	3			0		other	0
2	238	Sound	std	2366751	0	3			0		other	0
2	239	Sound	std	2374261	0	3			0		other	0
2	240	Sound	std	2380301	0	3			0		other	0
2	241	Sound	std	2387140	0	2			0		other	0
2	242	Sound	std	2393292	0	3			0		other	0
2	243	Sound	deviant_fall	2399931	0	3			0		other	0
2	243	Sound	0	2411931	12000	3			12000		other	0
2	244	Sound	std	2419642	0	3			0		other	0
2	245	Sound	std	2426342	0	3			0		other	0
2	246	Sound	deviant_rise	2434051	0	3			0		other	0
2	246	Sound	0	2446051	12000	2			12000		other	0
2	247	Sound	std	2452031	0	3			0		other	0
2	248	Sound	std	2459592	0	4			0		other	0
2	249	Sound	std	2466911	0	2			0		other	0
2	250	Sound	deviant_rise	2473362	0	3			0		other	0
2	250	Sound	0	2485362	12000	3			12000		other	0
2	251	Sound	std	2491120	0	5			0		other	0
2	252	Sound	std	2498242	0	3			0		other	0
2	253	Sound	std	2505291	0	3			0		other	0
2	254	Sound	std	2511271	0	2			0		other	0
2	255	Sound	std	2518711	0	2			0		other	0
2	256	Sound	std	2525281	0	3			0		other	0
2	257	Sound	deviant_flat	2532661	0	3			0		other	0
2	257	Sound	0	2544661	12000	2			12000		other	0
2	258	Sound	std	2550951	0	3			0		other	0
2	259	Sound	std	2558451	0	3			0		other	0
