Scenario - Own_name
Logfile written - 09/28/2021 16:19:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	1	Response	1	102241	101865	4
1	2	Sound	std	109234	0	2414			0		other	0
1	3	Sound	std	118520	0	3			0		other	0
1	4	Sound	std	126140	0	3			0		other	0
1	5	Sound	std	131960	0	2			0		other	0
1	6	Sound	std	138690	0	3			0		other	0
1	7	Sound	std	145941	0	3			0		other	0
1	8	Sound	std	152050	0	3			0		other	0
1	9	Sound	std	159161	0	3			0		other	0
1	10	Sound	std	165910	0	3			0		other	0
1	11	Sound	std	173131	0	2			0		other	0
1	12	Sound	std	179040	0	3			0		other	0
1	13	Sound	deviant_rise	185940	0	3			0		other	0
1	13	Sound	0	197940	12000	3			12000		other	0
1	14	Sound	std	204611	0	3			0		other	0
1	15	Sound	deviant_fall	210610	0	3			0		other	0
1	15	Sound	0	222610	12000	3			12000		other	0
1	16	Sound	std	228720	0	3			0		other	0
1	17	Sound	std	234920	0	3			0		other	0
1	18	Sound	deviant_flat	241900	0	3			0		other	0
1	18	Sound	0	253900	12000	3			12000		other	0
1	19	Sound	std	261190	0	3			0		other	0
1	20	Sound	std	267001	0	3			0		other	0
1	21	Sound	std	273770	0	3			0		other	0
1	22	Sound	deviant_flat	280740	0	3			0		other	0
1	22	Sound	0	292740	12000	3			12000		other	0
1	23	Sound	deviant_flat	299560	0	3			0		other	0
1	23	Sound	0	311560	12000	3			12000		other	0
1	24	Sound	deviant_rise	318050	0	3			0		other	0
1	24	Sound	0	330050	12000	3			12000		other	0
1	25	Sound	deviant_rise	336860	0	3			0		other	0
1	25	Sound	0	348860	12000	3			12000		other	0
1	26	Sound	deviant_rise	356640	0	3			0		other	0
1	26	Sound	0	368640	12000	4			12000		other	0
1	27	Sound	std	375481	0	3			0		other	0
1	28	Sound	std	381870	0	3			0		other	0
1	29	Sound	std	388810	0	3			0		other	0
1	30	Sound	deviant_rise	396390	0	3			0		other	0
1	30	Sound	0	408390	12000	3			12000		other	0
1	31	Sound	deviant_fall	415510	0	3			0		other	0
1	31	Sound	0	427510	12000	3			12000		other	0
1	32	Sound	std	433970	0	3			0		other	0
1	33	Sound	std	440039	0	3			0		other	0
1	34	Sound	std	445920	0	3			0		other	0
1	35	Sound	deviant_fall	452920	0	3			0		other	0
1	35	Sound	0	464920	12000	3			12000		other	0
1	36	Sound	std	471109	0	3			0		other	0
1	37	Sound	deviant_rise	477980	0	3			0		other	0
1	37	Sound	0	489980	12000	3			12000		other	0
1	38	Sound	std	496370	0	3			0		other	0
1	39	Sound	std	503669	0	3			0		other	0
1	40	Sound	std	510679	0	3			0		other	0
1	41	Sound	std	517110	0	3			0		other	0
1	42	Sound	deviant_rise	524491	0	3			0		other	0
1	42	Sound	0	536491	12000	3			12000		other	0
1	43	Sound	std	543140	0	3			0		other	0
1	44	Sound	std	549120	0	3			0		other	0
1	45	Sound	deviant_rise	556209	0	3			0		other	0
1	45	Sound	0	568209	12000	3			12000		other	0
1	46	Sound	std	575860	0	3			0		other	0
1	47	Sound	std	582260	0	3			0		other	0
1	48	Sound	std	588080	0	3			0		other	0
1	49	Sound	std	595389	0	3			0		other	0
1	50	Sound	std	601460	0	3			0		other	0
1	51	Sound	deviant_fall	607819	0	3			0		other	0
1	51	Sound	0	619819	12000	3			12000		other	0
1	52	Sound	std	625709	0	3			0		other	0
1	53	Sound	std	632180	0	3			0		other	0
1	54	Sound	std	639730	0	3			0		other	0
1	55	Sound	std	646109	0	3			0		other	0
1	56	Sound	deviant_rise	653099	0	3			0		other	0
1	56	Sound	0	665099	12000	3			12000		other	0
1	57	Sound	std	671949	0	2			0		other	0
1	58	Sound	std	677759	0	3			0		other	0
1	59	Sound	std	685140	0	3			0		other	0
1	60	Sound	deviant_fall	692299	0	3			0		other	0
1	60	Sound	0	704299	12000	3			12000		other	0
1	61	Sound	std	710899	0	3			0		other	0
1	62	Sound	deviant_flat	716819	0	3			0		other	0
1	62	Sound	0	728819	12000	3			12000		other	0
1	63	Sound	std	736360	0	3			0		other	0
1	64	Sound	std	743239	0	2			0		other	0
1	65	Sound	std	750269	0	3			0		other	0
1	66	Sound	std	756959	0	3			0		other	0
1	67	Sound	std	764559	0	3			0		other	0
1	68	Sound	deviant_rise	771499	0	3			0		other	0
1	68	Sound	0	783499	12000	3			12000		other	0
1	69	Sound	deviant_flat	790539	0	3			0		other	0
1	69	Sound	0	802539	12000	3			12000		other	0
1	70	Sound	std	810120	0	3			0		other	0
1	71	Sound	deviant_flat	816949	0	3			0		other	0
1	71	Sound	0	828949	12000	2			12000		other	0
1	72	Sound	std	836430	0	3			0		other	0
1	73	Sound	std	843879	0	3			0		other	0
1	74	Sound	std	850149	0	3			0		other	0
1	75	Sound	std	856449	0	3			0		other	0
1	76	Sound	std	862969	0	3			0		other	0
1	77	Sound	std	870459	0	3			0		other	0
1	78	Sound	std	877881	0	3			0		other	0
1	79	Sound	std	884959	0	2			0		other	0
1	80	Sound	std	892439	0	2			0		other	0
1	81	Sound	std	898290	0	3			0		other	0
1	82	Sound	std	904219	0	2			0		other	0
1	83	Sound	std	911000	0	2			0		other	0
1	84	Sound	std	918278	0	3			0		other	0
1	85	Sound	std	924300	0	3			0		other	0
1	86	Sound	std	931240	0	2			0		other	0
1	87	Sound	deviant_rise	938839	0	2			0		other	0
1	87	Sound	0	950839	12000	2			12000		other	0
1	88	Sound	deviant_flat	958009	0	2			0		other	0
